id,title,genres,description,year
3062,The Shawshank Redemption Reimagined 7,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 7 of an extended cinematic universe with new characters and plot twists.",2015
3063,Inside Out Genesis 8,Animation|Family,Emotions guide a young girl's life during a big move. This is part 7 of an extended cinematic universe with new characters and plot twists.,2002
3064,Interstellar Rebirth 5,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 5 of an extended cinematic universe with new characters and plot twists.,2001
3065,The Shawshank Redemption Uprising 2,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 7 of an extended cinematic universe with new characters and plot twists.",2018
3066,The Matrix Eclipse 5,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,2020
3067,The Godfather Chronicles 7,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 2 of an extended cinematic universe with new characters and plot twists.,2008
3068,La La Land Odyssey 1,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 4 of an extended cinematic universe with new characters and plot twists.,1997
3069,Inside Out Chronicles 8,Animation|Family,Emotions guide a young girl's life during a big move. This is part 1 of an extended cinematic universe with new characters and plot twists.,2022
3070,Inception Chronicles 8,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 1 of an extended cinematic universe with new characters and plot twists.,1995
3071,The Green Mile Odyssey 4,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 6 of an extended cinematic universe with new characters and plot twists.,1985
3072,The Shawshank Redemption Rebirth 1,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 5 of an extended cinematic universe with new characters and plot twists.",1980
3073,Inside Out Rebirth 9,Animation|Family,Emotions guide a young girl's life during a big move. This is part 9 of an extended cinematic universe with new characters and plot twists.,1983
3074,Inception Reimagined 3,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 1 of an extended cinematic universe with new characters and plot twists.,1997
3075,The Shawshank Redemption Saga 8,Drama,"Two imprisoned men bond over years, finding solace and eventual redemption. This is part 3 of an extended cinematic universe with new characters and plot twists.",1973
3076,Parasite Reimagined 8,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 6 of an extended cinematic universe with new characters and plot twists.,1993
3077,The Matrix Rebirth 8,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 1 of an extended cinematic universe with new characters and plot twists.,2024
3078,La La Land Saga 9,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 9 of an extended cinematic universe with new characters and plot twists.,2023
3079,La La Land Legacy 4,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 7 of an extended cinematic universe with new characters and plot twists.,2007
3080,Inception Saga 8,Action|Sci-Fi,A thief who steals corporate secrets through dream-sharing technology. This is part 7 of an extended cinematic universe with new characters and plot twists.,1973
3081,Inside Out Saga 6,Animation|Family,Emotions guide a young girl's life during a big move. This is part 9 of an extended cinematic universe with new characters and plot twists.,1994
3082,Inside Out Uprising 8,Animation|Family,Emotions guide a young girl's life during a big move. This is part 3 of an extended cinematic universe with new characters and plot twists.,1970
3083,La La Land Rebirth 4,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 6 of an extended cinematic universe with new characters and plot twists.,2009
3084,The Matrix Saga 4,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 1 of an extended cinematic universe with new characters and plot twists.,2013
3085,The Social Network Saga 5,Drama,The founding of Facebook and its legal battles. This is part 9 of an extended cinematic universe with new characters and plot twists.,2007
3086,The Godfather Returns 1,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,1975
3087,The Green Mile Odyssey 5,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 2 of an extended cinematic universe with new characters and plot twists.,2001
3088,Inside Out Saga 6,Animation|Family,Emotions guide a young girl's life during a big move. This is part 1 of an extended cinematic universe with new characters and plot twists.,2003
3089,The Matrix Odyssey 8,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,1991
3090,The Green Mile Uprising 1,Drama|Fantasy,A moving prison drama with supernatural elements. This is part 3 of an extended cinematic universe with new characters and plot twists.,2016
3091,The Godfather Chronicles 3,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,2017
3092,Inside Out Returns 5,Animation|Family,Emotions guide a young girl's life during a big move. This is part 9 of an extended cinematic universe with new characters and plot twists.,1975
3093,Parasite Odyssey 5,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 9 of an extended cinematic universe with new characters and plot twists.,2018
3094,The Godfather Legacy 9,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his son. This is part 9 of an extended cinematic universe with new characters and plot twists.,1997
3095,The Matrix Returns 6,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 1 of an extended cinematic universe with new characters and plot twists.,1999
3096,Interstellar Reimagined 3,Adventure|Sci-Fi,Explorers travel through a wormhole to save humanity. This is part 4 of an extended cinematic universe with new characters and plot twists.,2022
3097,The Matrix Odyssey 6,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 2 of an extended cinematic universe with new characters and plot twists.,1997
3098,Parasite Chronicles 3,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 6 of an extended cinematic universe with new characters and plot twists.,2007
3099,La La Land Uprising 3,Drama|Musical,A jazz pianist and actress fall in love in Los Angeles. This is part 1 of an extended cinematic universe with new characters and plot twists.,1990
3100,The Social Network Rebirth 9,Drama,The founding of Facebook and its legal battles. This is part 9 of an extended cinematic universe with new characters and plot twists.,1979
3101,Inside Out Chronicles 3,Animation|Family,Emotions guide a young girl's life during a big move. This is part 5 of an extended cinematic universe with new characters and plot twists.,1980
3102,Parasite Chronicles 9,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 1 of an extended cinematic universe with new characters and plot twists.,2025
3103,The Matrix Eclipse 7,Action|Sci-Fi,A hacker discovers reality is a simulation. This is part 5 of an extended cinematic universe with new characters and plot twists.,1997
3104,Parasite Odyssey 9,Thriller|Drama,A poor family schemes to become employed by a wealthy household. This is part 7 of an extended cinematic universe with new characters and plot twists.,2021
3105,The Social Network Odyssey 1,Drama,The founding of Facebook and its legal battles. This is part 8 of an extended cinematic universe with new characters and plot twists.,1970
